定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
17:45,,東京,,着陸,X,17.0:47.05,3
17:45,,宮崎,,着陸,X,17.0:49.05,5
17:50,17:50,東京,,D9,S,17.0:55,0
17:50,,沖縄/那覇,,着陸,X,17.0:51.05,2
17:50,,東京,,着陸,X,17.0:53.05,4
17:55,17:55,沖縄/那覇,,D1,S,18.0:00,0
17:55,,東京,,着陸,X,17.0:55.05,1
17:55,,小松,,着陸,X,17.0:57.05,3
18:00,18:00,関西,,D2,S,18.0:05,0
18:00,18:00,東京,,D6,X,18.0:05,0
18:00,18:00,ソウル/仁川,,I53,S,18.0:08,0
18:00,,台北/桃園,,着陸,X,18.0:3.95,4
18:00,,名古屋/小松,,着陸,X,18.0:5.95,6
18:00,,東京,,着陸,S,18.0:6.916666666666667,7
18:00,,沖縄/那覇,,着陸,X,18.0:7.95,8
18:05,,台北/桃園,,着陸,S,18.0:8.916666666666666,4
18:10,18:10,対馬,,D81,X,18.0:19,0
18:10,,静岡,,着陸,S,18.0:10.916666666666666,1
18:15,,名古屋/中部,,着陸,S,18:15.0,0
18:20,,東京,,着陸,S,18:20.0,0
18:20,,仙台,,着陸,X,18:20.0,0
18:25,18:25,徳島,,D12,X,18.0:32,0
18:25,18:25,宮崎,,D82,S,18.0:33,0
18:25,,大阪,,着陸,X,18.0:30.183333333333334,6
18:30,18:30,静岡,,D5,S,18.0:35,0
18:30,18:30,名古屋/中部,,D11,X,18.0:36,0
18:30,,仙台,,着陸,S,18.0:33.46666666666667,4
18:35,18:35,東京,,D10,X,18.0:41,0
18:35,18:35,沖縄/那覇,,D7,S,18.0:40,0
18:35,18:37,茨城,,D3,S,18.0:42,2
18:40,18:40,名古屋/小牧,,D1,X,18.0:46,0
18:40,18:40,成田,,D1,S,18.0:45,0
18:40,18:43,成田,,D4,S,18.0:47,3
18:40,,天草,,着陸,X,18.0:44.666666666666664,5
18:40,,成田,,着陸,S,18.0:45.8,6
18:50,,松山,,着陸,X,18:50.0,0
18:55,18:55,大阪,,D6,S,19.0:00,0
18:55,,東京,,着陸,X,18:55.0,0
19:00,19:00,仙台,,D82,X,19.0:09,0
19:00,19:00,東京,,D11,S,19.0:06,0
19:00,,台北/桃園,,欠航,,,
19:00,,福江,,着陸,S,19.0:4.3,5
19:00,,成田,,着陸,S,19.0:6.3,7
19:00,,東京,,着陸,X,19.0:7.05,8
19:05,19:08,東京,,D8,S,19.0:12,3
19:10,19:10,天草,,D81,X,19.0:19,0
19:10,19:10,大阪,,D6,S,19.0:15,0
19:10,,台北/桃園,,欠航,,,
19:10,,信州松本,,着陸,S,19.0:13.333333333333334,4
19:15,19:15,東京,,D9,S,19.0:20,0
19:20,19:20,宮崎,,D11,X,19.0:26,0
19:20,19:20,成田,,D2,S,19.0:25,0
19:20,,高雄,,着陸,S,19.0:23.6,4
19:20,,東京,,着陸,X,19.0:24.933333333333334,5
19:25,,名古屋/中部,,着陸,S,19.0:25.6,1
19:30,19:30,宮崎,,D82,X,19.0:39,0
19:35,,沖縄/那覇,,着陸,S,19:35.0,0
19:35,,札幌/新千歳,,着陸,S,19:37.0,2
19:35,,静岡,,着陸,X,19.0:37.05,3
19:40,19:40,成田,,D4,S,19.0:45,0
19:40,,高知,,着陸,X,19:40.0,0
19:40,,成田,,着陸,X,19:42.0,2
19:50,19:50,東京,,D10,S,19.0:56,0
19:50,,対馬,,着陸,X,19:50.0,0
19:55,19:55,静岡,,D1,X,20.0:01,0
