定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
17:55,17:55,沖縄/那覇,,D1,S,18:06,0
17:55,,東京,,着陸,X,18:03,8
17:55,,小松,,着陸,X,18:05,10
18:00,18:00,関西,,D2,X,18:11,0
18:00,18:00,東京,,D6,S,18:10,0
18:00,18:00,ソウル/仁川,,I53,S,18:18,0
18:00,,台北/桃園,,着陸,X,18:13,13
18:00,,名古屋/小松,,着陸,X,18:15,15
18:00,,東京,,着陸,X,18:17,17
18:00,,沖縄/那覇,,着陸,X,18:19,19
18:05,,台北/桃園,,着陸,S,18:20,15
18:10,18:10,対馬,,D81,X,18:27,0
18:10,,静岡,,着陸,S,18:22,12
18:15,,名古屋/中部,,着陸,S,18:24,9
18:20,,東京,,着陸,S,18:26,6
18:20,,仙台,,着陸,S,18:28,8
18:25,18:25,徳島,,D12,X,18:33,0
18:25,18:25,宮崎,,D82,S,18:35,0
18:25,,大阪,,着陸,X,18:35,10
18:30,18:30,静岡,,D5,X,18:40,0
18:30,18:30,名古屋/中部,,D11,S,18:41,0
18:30,,仙台,,着陸,X,18:42,12
18:35,18:35,東京,,D10,S,18:46,0
18:35,18:35,沖縄/那覇,,D7,X,18:47,0
18:35,18:35,茨城,,D3,S,18:50,0
18:40,18:40,名古屋/小牧,,D1,X,18:53,0
18:40,18:40,成田,,D1,S,18:55,0
18:40,18:40,成田,,D4,X,18:58,0
18:40,,天草,,着陸,S,18:57,17
18:40,,成田,,着陸,S,18:59,19
18:50,,松山,,着陸,X,19:00,10
18:55,18:55,大阪,,D6,S,19:03,0
18:55,,東京,,着陸,X,19:02,7
19:00,19:00,仙台,,D82,X,19:10,0
19:00,19:00,東京,,D11,S,19:09,0
19:00,,台北/桃園,,欠航,,,
19:00,,福江,,着陸,S,19:11,11
19:00,,成田,,着陸,X,19:12,12
19:00,,東京,,着陸,S,19:13,13
19:05,19:05,東京,,D8,X,19:17,0
19:10,19:10,天草,,D81,S,19:20,0
19:10,19:10,大阪,,D6,X,19:22,0
19:10,,台北/桃園,,欠航,,,
19:10,,信州松本,,着陸,S,19:22,12
19:15,19:15,東京,,D9,X,19:27,0
19:20,19:20,宮崎,,D11,S,19:27,0
19:20,19:20,成田,,D2,S,19:32,0
19:20,,高雄,,着陸,X,19:29,9
19:20,,東京,,着陸,X,19:31,11
19:25,,名古屋/中部,,着陸,X,19:33,8
19:30,19:30,宮崎,,D82,S,19:39,0
19:35,,沖縄/那覇,,着陸,X,19:35,0
19:35,,札幌/新千歳,,着陸,X,19:37,2
19:35,,静岡,,着陸,X,19:39,4
19:40,19:40,成田,,D4,S,19:45,0
19:40,,高知,,着陸,X,19:41,1
19:40,,成田,,着陸,X,19:43,3
19:50,19:50,東京,,D10,X,19:56,0
19:50,,対馬,,着陸,S,19:50,0
19:55,19:55,静岡,,D1,S,20:00,0
19:55,,東京,,着陸,X,19:58,3
20:00,20:00,東京,,D7,X,20:05,0
20:00,20:00,東京,,D5,S,20:05,0
20:00,,台北/桃園,,着陸,S,20:07,7
20:00,,奄美大島,,着陸,X,20:07,7
20:00,,名古屋/中部,,着陸,S,20:09,9
20:05,20:05,名古屋/小牧,,D2,X,20:13,0
20:05,,沖縄/那覇,,着陸,S,20:11,6
20:10,20:10,宮崎,,D8,S,20:15,0
20:10,20:10,名古屋/中部,,D11,X,20:19,0
20:15,20:15,沖縄/那覇,,D11,S,20:21,0
20:20,20:20,成田,,D1,X,20:26,0
20:20,,高雄,,欠航,,,
20:20,,出雲,,着陸,S,20:23,3
20:25,20:25,成田,,D3,S,20:30,0
20:25,,名古屋/中部,,着陸,X,20:28,3
20:25,,沖縄/那覇,,着陸,X,20:30,5
20:25,,東京,,着陸,S,20:32,7
20:30,,東京,,着陸,X,20:32,2
20:30,,高崎,,着陸,S,20:34,4
20:35,,東京,,着陸,X,20:35,0
20:40,20:40,名古屋/中部,,D4,S,20:45,0
20:50,20:50,東京,,D9,X,20:56,0
20:50,,沖縄/那覇,,着陸,S,20:50,0
20:55,20:55,沖縄/那覇,,D12,S,21:01,0
20:55,,東京,,着陸,X,20:58,3
20:55,,成田,,着陸,X,21:00,5
20:55,,仙台,,着陸,X,21:02,7
21:00,21:00,東京,,D6,S,21:05,0
21:00,,台北/桃園,,欠航,,,
21:00,,東京,,着陸,X,21:04,4
21:00,,沖縄/那覇,,着陸,X,21:06,6
21:05,21:05,東京,,D5,S,21:10,0
21:10,21:10,関西,,D1,X,21:16,0
21:10,,徳島,,着陸,S,21:12,2
21:10,,小松,,着陸,S,21:14,4
21:15,21:15,東京,,D11,S,21:21,0
21:15,,大阪,,着陸,X,21:18,3
21:20,21:20,東京,,D2,X,21:26,0
21:20,,新潟,,着陸,S,21:23,3
21:25,,東京,,着陸,S,21:25,0
21:25,,成田,,着陸,S,21:27,2
21:25,,沖縄/那覇,,着陸,X,21:28,3
21:30,,大阪,,着陸,S,21:30,0
21:30,,名古屋/中部,,着陸,X,21:30,0
21:30,,沖縄/那覇,,着陸,X,21:32,2
21:30,,名古屋/小牧,,着陸,S,21:32,2
21:30,,宮崎,,着陸,X,21:34,4
21:35,,宮崎,,着陸,S,21:35,0
21:35,,東京,,着陸,X,21:36,1
21:45,,東京,,着陸,S,21:45,0
21:55,,東京,,着陸,X,21:55,0
21:55,,東京,,着陸,S,21:55,0
,,,,,,,
平均遅延時間,8.938522867547206e-15,[s],,,,,
